State,Population_density
District of Columbia,11295
New Jersey,1263
Rhode Island,1061
Puerto Rico,960
Massachusetts,901
Connecticut,745
Guam,733
American Samoa,650
US Virgin Islands,649
Maryland,636
Delaware,508
New York,429
Florida,402
Pennsylvania,291
Ohio,289
Northern Mariana Islands,260
California,254
Illinois,231
Hawaii,227
Virginia,219
North Carolina,215
Indiana,189
Georgia,186
Michigan,178
South Carolina,170
Tennessee,168
New Hampshire,154
Washington,116
Kentucky,114
Texas,112
Wisconsin,109
Louisiana,108
Alabama,99.2
Missouri,89.5
West Virginia,74.6
Minnesota,71.7
Vermont,69.8
Mississippi,63.1
Arizona,63
Arkansas,57.9
Oklahoma,57.7
Iowa,57.1
Colorado,55.7
Maine,44.2
Oregon,44.1
Utah,39.8
Kansas,35.9
Nevada,28.3
Nebraska,25.5
Idaho,22.3
New Mexico,17.5
South Dakota,11.7
North Dakota,11.3
Montana,7.5
Wyoming,5.9
